Reference, Value, Footprint
"CN5","U.FL","U.FL-R-SMT-1"
"R57","330","R0603"
"BT1","CR1620","BAT-HLD-012-THM"
"D2","ORANGE","LED_0603"
"Q1","PUMH2","SOT363"
"D4","RB520S30","SOD-523"
"D6","RB520S30","SOD-523"
"C7","22u","S1206"
"C5","100n","C0603"
"C6","22u","S1206"
"R75","2.7K","R0603"
"C8","22u","S1206"
"R74","15K","R0603"
"L1","10uH","SMD-5040"
"CN1","CONN_02X20","HE_254_2X20_TH"
"R59","15K","R0603"
"CN3","uSIM_CARD","SD-78723"
"R63","33","R0603"
"R64","33","R0603"
"R65","33","R0603"
"C3","22p","C0603"
"Q2","PUMH2","SOT363"
"R49","330","R0603"
"D1","GREEN","LED_0603"
"R48","330","R0603"
"CN7","CONN_01X04","HE_254_1X4_TH"
"CN4","CONN_01X04","HE_254_1X4_TH"
"R43","330","R0603"
"R40","330","R0603"
"R41","33","R0603"
"Q4","BC856BS","SOT363"
"U4","NCP1593B","ON-DFN10-3x3-0.5P"
"CN6","NM","U.FL-R-SMT-1"
"CN2","CONN_02X04","HE_254_2X4_TH"
"R26","33","R0603"
"U2","SIM800C","SIM800C-42P"
